Date,Open,High,Low,Close,Adj Close,Volume,location_id,version_name,location_name,inf_mean,inf_upper,inf_lower,seir_cumulative_mean,seir_cumulative_lower,seir_cumulative_upper,inf_cuml_mean,inf_cuml_lower,inf_cuml_upper,seir_daily_mean,seir_daily_lower,seir_daily_upper,seir_daily_unscaled_mean,seir_daily_unscaled_lower,seir_daily_unscaled_upper,seir_cumulative_unscaled_mean,seir_cumulative_unscaled_lower,seir_cumulative_unscaled_upper,cases_mean,cases_lower,cases_upper,reff_mean,reff_lower,reff_upper,cumulative_deaths,daily_deaths,cumulative_cases,cumulative_hospitalizations,cumulative_deaths_unscaled,daily_deaths_unscaled,daily_cases,population,mobility_mean,mobility_obs,testing_mean,testing_lower,testing_upper,testing_obs,pneumonia_mean,pneumonia_obs,mask_use_mean,mask_use_obs,cumulative_all_vaccinated,cumulative_all_fully_vaccinated,cumulative_all_effectively_vaccinated,hospital_beds_mean,hospital_beds_upper,hospital_beds_lower,icu_beds_mean,icu_beds_upper,icu_beds_lower,admis_mean,admis_upper,admis_lower,all_bed_capacity,icu_bed_capacity,infection_fatality,infection_detection,infection_hospitalization,aged_65_older,aged_70_older,cardiovasc_death_rate,continent,diabetes_prevalence,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,extreme_poverty,female_smokers,gdp_per_capita,handwashing_facilities,hosp_patients,hosp_patients_per_million,hospital_beds_per_thousand,human_development_index,icu_patients,icu_patients_per_million,iso_code,life_expectancy,location,male_smokers,median_age,new_cases,new_cases_per_million,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths,new_deaths_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,new_tests,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,new_vaccinations,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred,people_vaccinated,people_vaccinated_per_hundred,population_density,positive_rate,reproduction_rate,stringency_index,tests_per_case,tests_units,total_boosters,total_boosters_per_hundred,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,total_vaccinations_per_hundred,weekly_hosp_admissions,weekly_hosp_admissions_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million
2021-06-29,5944.242188,5992.86377,5913.59082,5949.049805,5949.049805,188801800,11,reference,Indonesia,1366240.4,1893597.05,790909.53,250549.96,165420.86,365049.19,95610170.03,69219855.01,123341883.67,1921.02,1268.29,2798.94,443.51,443.5,443.51,57844.9,57843.7,57846.45,21798.89,21798.89,21798.89,1.42,1.31,1.58,251326.42,2005.45,2156465.0,,58024.0,463.0,20467.0,259465835.493022,-24.9674,1,30.654,30.654,30.654,0,1.1488,0,0.7629,1,28304774.0,13329738.0,13207312.397393,86431.13,149846.28,50801.01,18423.72,31941.35,10828.78,11789.68,22615.21,6201.44,224864.0,7085.0,0.0064,0.0306,0.016,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,20467.0,74.059,19764.571,71.517,463.0,1.675,390.429,1.413,644984.0,0.233,103265.0,0.374,88818.0,0.321,1032580.0,761387.0,2755.0,13329738.0,4.82,28304774.0,10.24,145.725,0.2225,1.36,71.76,4.5,people tested,,,2156465.0,7803.051,58024.0,209.957,13225859.0,47.857,41634512.0,15.07,,,,
2021-06-30,5950.433105,6011.256836,5950.423828,5985.48877,5985.48877,203167100,11,reference,Indonesia,1434259.18,1981983.52,840453.82,252548.94,166740.62,367961.73,97044429.21,70158054.04,125252715.21,1998.98,1319.76,2912.54,461.51,461.5,461.51,58306.41,58305.21,58307.96,22782.89,22782.89,22782.89,1.42,1.3,1.57,253349.19,2022.77,2178272.0,,58491.0,467.0,21807.0,259465835.493022,-25.663,1,30.7117,30.7117,30.7117,0,1.1495,0,0.7639,1,29279142.0,13465499.0,13519934.9577714,90510.4,156463.02,53347.13,19387.71,33515.04,11427.18,12215.75,23352.6,6442.16,224864.0,7085.0,0.0063,0.0309,0.016,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,21807.0,78.907,20693.0,74.876,467.0,1.69,413.857,1.498,702898.0,0.254,100313.0,0.363,92521.0,0.335,1110129.0,820821.0,2970.0,13465499.0,4.87,29279142.0,10.59,145.725,0.2237,1.34,71.76,4.5,people tested,,,2178272.0,7881.958,58491.0,211.646,13326172.0,48.22,42744641.0,15.47,,,,
2021-07-01,6001.121094,6039.03418,5969.099121,6005.958008,6005.958008,140966500,11,reference,Indonesia,1498621.34,2049119.68,889182.8,254634.86,168117.78,371000.94,98543050.55,71133048.25,127240346.87,2085.92,1377.16,3039.21,481.58,481.58,481.58,58787.99,58786.78,58789.54,23690.67,23690.67,23690.67,1.41,1.3,1.55,255532.23,2183.04,2203108.0,,58995.0,504.0,24836.0,259465835.493022,-26.4312,1,30.7693,30.7693,30.7693,0,1.1502,0,0.7648,1,30184392.0,13624157.0,13811097.2742574,94571.14,163376.45,55842.78,20400.88,35243.56,12046.4,12717.04,24298.79,6728.38,224864.0,7085.0,0.0063,0.0309,0.016,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,24836.0,89.868,21301.857,77.08,504.0,1.824,435.143,1.575,750707.0,0.272,98572.0,0.357,93674.0,0.339,1063908.0,872760.0,3158.0,13624157.0,4.93,30184392.0,10.92,145.725,0.2274,1.33,71.76,4.4,people tested,,,2203108.0,7971.826,58995.0,213.47,13424744.0,48.577,43808549.0,15.85,,,,
2021-07-02,6020.074219,6043.432129,6014.871094,6023.007813,6023.007813,146766100,11,reference,Indonesia,1549667.58,2071445.93,932268.43,256807.72,169552.33,374166.81,100092718.13,72127169.22,129269824.48,2172.86,1434.56,3165.88,501.65,501.65,501.65,59289.64,59288.43,59291.19,24757.96,24757.96,24757.96,1.39,1.27,1.53,257866.86,2334.64,2228938.0,,59534.0,539.0,25830.0,259465835.493022,-27.2731,1,30.8269,30.8269,30.8269,0,1.1506,0,0.7657,1,30891821.0,13770107.0,14083600.2980186,98710.04,170148.42,58333.49,21471.94,37011.61,12689.02,13273.04,25226.57,6965.37,224864.0,7085.0,0.0062,0.0311,0.0161,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,25830.0,93.464,22295.857,80.676,539.0,1.95,451.857,1.635,772826.0,0.28,102765.0,0.372,94719.0,0.343,853379.0,895324.0,3240.0,13770107.0,4.98,30891821.0,11.18,145.725,0.2354,1.35,71.76,4.2,people tested,,,2228938.0,8065.29,59534.0,215.421,13527509.0,48.949,44661928.0,16.16,,,,
2021-07-05,6024.165039,6036.979004,5985.354004,6005.608887,6005.608887,131732000,11,reference,Indonesia,1579469.46,2065487.67,962076.12,264501.03,174631.58,385376.07,104847608.26,75113756.01,135216168.79,2840.82,1875.56,4139.12,655.86,655.86,655.87,61065.8,61064.59,61067.37,29700.39,29700.39,29700.39,1.25,1.02,1.44,264823.13,2416.93,2313829.0,,61140.0,558.0,29745.0,259465835.493022,-30.0752,1,30.9998,30.9998,30.9998,0,1.1515,0,0.7677,1,32302268.0,14035934.0,14565895.122076,112806.28,194415.19,66547.96,24807.92,42755.03,14634.97,15535.05,29730.86,8167.03,224864.0,7085.0,0.0068,0.0325,0.0164,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,29745.0,107.631,25404.429,91.925,558.0,2.019,511.286,1.85,697481.0,0.252,92398.0,0.334,99227.0,0.359,294893.0,819467.0,2965.0,14035934.0,5.08,32302268.0,11.69,145.725,0.256,1.39,71.76,3.9,people tested,,,2313829.0,8372.464,61140.0,221.232,13817182.0,49.997,46338202.0,16.77,,,,
2021-07-06,6015.581055,6054.60791,6013.062012,6047.11084,6047.11084,161021000,11,reference,Indonesia,1554040.43,2059403.52,946046.5,267552.24,176646.03,389821.72,106401648.69,76071153.0,137107136.57,3051.21,2014.45,4445.65,704.44,704.43,704.44,61770.24,61769.02,61771.81,31546.74,31546.74,31546.74,1.18,0.96,1.4,267976.4,3153.28,2345018.0,,61868.0,728.0,31189.0,259465835.493022,-31.0015,1,31.0575,31.0575,31.0575,0,1.1519,0,0.7677,1,33176029.0,14267980.0,14849644.2755771,118153.22,204231.93,69477.37,25796.15,44589.54,15168.85,16326.61,31422.52,8523.37,224864.0,7085.0,0.0068,0.0328,0.0164,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,31189.0,112.856,26936.143,97.467,728.0,2.634,549.143,1.987,695894.0,0.252,136765.0,0.495,104013.0,0.376,1105807.0,829928.0,3003.0,14267980.0,5.16,33176029.0,12.0,145.725,0.259,1.38,71.76,3.9,people tested,,,2345018.0,8485.319,61868.0,223.866,13953947.0,50.492,47444009.0,17.17,,,,
2021-07-07,6062.769043,6066.994141,6022.305176,6044.037109,6044.037109,165513600,11,reference,Indonesia,1526388.07,2034244.19,922647.5,270809.19,178796.32,394567.14,107928036.76,77003919.61,139196201.36,3256.95,2150.29,4745.42,751.94,751.93,751.94,62522.17,62520.95,62523.74,32937.82,32937.82,32937.82,1.1,0.91,1.34,272481.08,4504.68,2379397.0,,62908.0,1040.0,34379.0,259465835.493022,-31.8705,1,31.1151,31.1151,31.1151,0,1.1523,0,0.7679,1,34039797.0,14443813.0,15146433.0484145,123572.24,214400.21,72397.51,26727.53,46372.77,15658.91,16961.27,32788.41,8764.08,224864.0,7085.0,0.0068,0.0326,0.0162,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,34379.0,124.399,28732.143,103.966,1040.0,3.763,631.0,2.283,680094.0,0.246,141957.0,0.514,109962.0,0.398,1039601.0,819853.0,2967.0,14443813.0,5.23,34039797.0,12.32,145.725,0.2613,1.37,71.76,3.8,people tested,,,2379397.0,8609.718,62908.0,227.629,14095904.0,51.005,48483610.0,17.54,,,,
2021-07-08,6052.804199,6080.222168,6028.60791,6039.895996,6039.895996,159513500,11,reference,Indonesia,1497737.6,1978544.72,901210.31,274309.01,181106.95,399666.42,109425774.36,77923854.07,141282065.8,3499.82,2310.63,5099.28,808.01,808.0,808.01,63330.18,63328.96,63331.75,34091.03,34091.03,34091.03,1.03,0.88,1.28,276171.45,3690.37,2417788.0,,63760.0,852.0,38391.0,259465835.493022,-32.6579,1,31.1727,31.1727,31.1727,0,1.1527,0,0.7686,1,34860686.0,14622502.0,15424753.2996407,129014.36,224636.26,75419.32,27678.09,48192.33,16180.08,17566.57,33940.2,9175.11,224864.0,7085.0,0.0068,0.0322,0.016,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,38391.0,138.916,30668.571,110.973,852.0,3.083,680.714,2.463,668042.0,0.242,135936.0,0.492,115299.0,0.417,999578.0,810663.0,2933.0,14622502.0,5.29,34860686.0,12.61,145.725,0.266,1.36,71.76,3.8,people tested,,,2417788.0,8748.634,63760.0,230.712,14231840.0,51.497,49483188.0,17.91,,,,
2021-07-09,6037.003906,6060.541016,6026.547852,6039.844238,6039.844238,136425200,11,reference,Indonesia,1474739.06,1939745.89,888626.21,278051.7,183577.92,405119.57,110900513.42,78794879.24,143255810.01,3742.69,2470.98,5453.15,864.08,864.08,864.08,64194.26,64193.03,64195.84,35494.32,35494.32,35494.32,0.97,0.85,1.19,279944.12,3772.67,2455912.0,,64631.0,871.0,38124.0,259465835.493022,-33.3469,1,31.2304,31.2304,31.2304,0,1.1529,0,0.7691,1,35775567.0,14868577.0,15728987.4565737,134548.52,234833.81,78562.15,28671.19,50041.16,16740.95,18268.13,35153.19,9578.28,224864.0,7085.0,0.0068,0.032,0.0159,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,38124.0,137.95,32424.857,117.328,871.0,3.152,728.143,2.635,697678.0,0.252,142005.0,0.514,120905.0,0.437,1160956.0,854602.0,3092.0,14868577.0,5.38,35775567.0,12.95,145.725,0.2682,1.34,71.76,3.7,people tested,,,2455912.0,8886.583,64631.0,233.864,14373845.0,52.011,50644144.0,18.33,,,,
2021-07-12,6060.054199,6097.120117,6055.98584,6078.567871,6078.567871,135385400,11,reference,Indonesia,1457404.65,1960414.44,865584.97,289793.96,191330.33,422228.22,115270584.52,81220328.52,149066733.77,3939.77,2601.09,5740.3,909.58,909.58,909.58,66905.21,66903.98,66906.8,42833.17,42833.17,42833.17,0.92,0.84,1.0,291742.91,3859.3,2567630.0,,67355.0,891.0,40427.0,259465835.493022,-34.7752,1,31.4032,31.4032,31.4032,0,1.153,0,0.7712,1,36368191.0,15036468.0,16623404.7354569,153241.15,268773.35,88819.28,32666.96,57295.36,18933.92,21138.99,41267.54,10801.34,224864.0,7085.0,0.006,0.0339,0.0161,5.319,3.053,342.864,Asia,6.32,,,,,5.7,2.8,11188.744,64.204,,,1.04,0.718,,,IDN,71.72,Indonesia,76.1,29.3,40427.0,146.283,36257.286,131.195,891.0,3.224,887.857,3.213,580846.0,0.21,123317.0,0.446,136190.0,0.493,126292.0,723780.0,2619.0,15036468.0,5.44,36368191.0,13.16,145.725,0.2662,1.37,71.76,3.8,people tested,,,2567630.0,9290.829,67355.0,243.72,14770511.0,53.446,51404659.0,18.6,,,,
